id,title,category,subcategory,brand,sku,price,meta
PROD001,"Wireless Headphones",Electronics,Audio,Sonic,WH-100,99.99,"{""published_at"":""2025-01-10 09:00:00""}"
PROD002,"Smart Watch",Electronics,Wearables,Chrono,SW-200,149.99,"{""published_at"":""2025-01-10 09:00:00""}"
PROD003,"Bluetooth Speaker",Electronics,Audio,Boom,BS-300,79.99,"{""published_at"":""2025-01-10 09:00:00""}"
PROD004,"USB-C Hub",Electronics,Accessories,Hubify,HB-400,39.99,"{""published_at"":""2025-01-10 09:00:00""}"
PROD005,"Laptop Sleeve",Electronics,Accessories,Protec,LS-500,29.99,"{""published_at"":""2025-01-10 09:00:00""}"
PROD006,"Air Fryer",Home,Kitchen,Cooko,AF-110,89.99,"{""published_at"":""2025-01-25 09:00:00""}"
PROD007,"Vacuum Cleaner",Home,Cleaning,DustAway,VC-120,129.99,"{""published_at"":""2025-01-25 09:00:00""}"
PROD008,"LED Desk Lamp",Home,Decor,Bright,DL-130,24.99,"{""published_at"":""2025-01-25 09:00:00""}"
PROD009,"Memory Foam Pillow",Home,Bedding,Sleeper,FP-140,34.99,"{""published_at"":""2025-01-25 09:00:00""}"
PROD010,"Electric Kettle",Home,Kitchen,BoilPro,EK-150,49.99,"{""published_at"":""2025-01-25 09:00:00""}"
PROD011,"Face Serum",Beauty,Skincare,Glow,FS-210,19.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD012,"Hair Dryer",Beauty,Hair,StyleX,HD-220,59.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD013,Perfume,Beauty,Fragrance,Aroma,PF-230,79.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD014,Lipstick,Beauty,Makeup,Colorpop,LP-240,14.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD015,Moisturizer,Beauty,Skincare,Hydra,MZ-250,24.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD016,"Yoga Mat",Sports,Yoga,Flex,YM-310,29.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD017,"Dumbbell Set",Sports,Gym,Power,DB-320,59.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD018,"Cycling Helmet",Sports,Cycling,RideSafe,CH-330,49.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD019,"Tennis Racket",Sports,Outdoor,Ace,TR-340,89.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD020,"Jump Rope",Sports,Gym,Swift,JR-350,12.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD021,"Novel: The Wanderer",Books,Fiction,BookHouse,BK-410,14.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD022,"Study Guide",Books,Non-fiction,LearnWell,BK-420,19.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD023,"Sci-Fi Anthology",Books,Sci-Fi,GalaxyPub,BK-430,24.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD024,"Children Stories",Books,Children,KidsRead,BK-440,9.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD025,"Building Blocks",Toys,Building,Blocky,TY-510,29.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD026,"Educational Tablet",Toys,Educational,EduPlay,TY-520,49.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD027,"Action Figure",Toys,Figures,HeroCo,TY-530,19.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD028,"Board Game",Toys,"Board Games",GameNight,TY-540,34.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD029,"Puzzle Set",Toys,Educational,MindBend,TY-550,14.99,"{""published_at"":""2025-02-15 09:00:00""}"
PROD030,"RC Car",Toys,Outdoor,Speedster,TY-560,59.99,"{""published_at"":""2025-02-15 09:00:00""}"
